date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
05-05-2025,09:15:00,7869.5,7880,7850,7867,2612,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:16:00,7871,7893,7871,7893,1346,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:17:00,7896,7904,7886,7904,1325,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:18:00,7899.5,7903,7886,7899,1395,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:19:00,7900,7900.5,7885,7893,642,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:20:00,7896.5,7902,7891,7902,789,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:21:00,7902.5,7903,7880,7880,1266,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:22:00,7880,7894.5,7880,7894.5,241,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:23:00,7895.5,7899.5,7895,7899.5,857,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:24:00,7896,7901,7894,7901,182,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:25:00,7901,7913,7895.5,7895.5,1590,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:26:00,7899,7919,7899,7918,1120,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:27:00,7918,7930,7918,7928,5808,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:28:00,7924,7927,7911,7912,780,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:29:00,7912.5,7914.5,7907,7907,443,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:30:00,7907,7907,7892,7903,267,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:31:00,7901,7905,7885,7885,798,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:32:00,7885,7885,7872,7872,2073,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:33:00,7870,7870,7862.5,7868,439,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:34:00,7870.5,7888.5,7869.5,7887.5,415,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:35:00,7888.5,7888.5,7878.5,7885,416,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:36:00,7885,7888.5,7879.5,7882,344,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:37:00,7881.5,7894,7879.5,7890,563,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:38:00,7894.5,7899,7890.5,7891.5,1162,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:39:00,7885,7891,7885,7887.5,680,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:40:00,7886,7887,7870,7870,928,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:41:00,7871,7878.5,7870,7873,1204,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:42:00,7878,7878,7867,7867,1257,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:43:00,7867,7878.5,7867,7876.5,1118,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:44:00,7876.5,7881,7873,7875,532,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:45:00,7875,7881,7875,7880,282,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:46:00,7880.5,7880.5,7872,7877,1325,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:47:00,7877,7881,7875,7880,307,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:48:00,7876.5,7883,7876.5,7883,443,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:49:00,7882,7900,7882,7900,1354,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:50:00,7900,7903.5,7892,7895.5,1399,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:51:00,7896,7903,7895.5,7899.5,367,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:52:00,7898.5,7903,7897.5,7902,1357,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:53:00,7902,7910.5,7901,7902,1021,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:54:00,7908,7914.5,7903.5,7914.5,781,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:55:00,7915,7915,7907.5,7907.5,375,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:56:00,7906.5,7906.5,7901.5,7905,178,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:57:00,7906.5,7909,7906,7907.5,107,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:58:00,7909,7912,7907.5,7911.5,306,0,1,16669,01-01-0001 00:00:00
05-05-2025,09:59:00,7912,7916,7910.5,7912.5,221,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:00:00,7914,7916.5,7912,7913.5,450,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:01:00,7915.5,7915.5,7905,7905,344,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:02:00,7905,7907.5,7900,7900,810,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:03:00,7900,7900,7881.5,7885,574,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:04:00,7883,7890,7883,7890,539,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:05:00,7885.5,7888,7885,7888,1077,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:06:00,7885,7890,7883.5,7885.5,392,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:07:00,7885.5,7886.5,7873.5,7875,755,0,1,16669,01-01-0001 00:00:00
05-05-2025,10:08:00,7875,7878.5,7870,7874,700,0,1,16669,01-01-0001 00:00:00
