datetime,open,high,low,close,volume,source_file
2025-01-01 09:15:00,1281.65,1284.75,1274.55,1275.35,322229,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 09:30:00,1275.2,1276.25,1269.35,1271.6,193441,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 09:45:00,1271.6,1272.6,1267.1,1271.45,230904,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 10:00:00,1271.45,1279.05,1271.0,1278.2,247375,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 10:15:00,1278.2,1282.4,1277.0,1281.5,261109,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 10:30:00,1282.0,1282.0,1278.3,1281.25,95150,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 10:45:00,1281.2,1291.0,1281.0,1289.75,218954,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 11:00:00,1289.4,1291.0,1287.75,1289.0,145613,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 11:15:00,1288.65,1290.95,1286.7,1289.0,288872,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 11:30:00,1288.5,1289.9,1285.95,1288.85,116263,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 11:45:00,1288.9,1289.75,1286.5,1287.2,62037,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 12:00:00,1287.2,1290.7,1286.7,1288.8,82084,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 12:15:00,1288.8,1291.95,1288.4,1290.65,161717,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 12:30:00,1290.6,1291.45,1288.8,1290.4,72035,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 12:45:00,1290.4,1290.9,1286.25,1286.55,100032,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 13:00:00,1286.55,1287.3,1285.65,1285.85,75808,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 13:15:00,1286.2,1288.25,1285.85,1287.7,107885,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 13:30:00,1287.7,1288.95,1286.35,1288.35,121003,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 13:45:00,1288.35,1290.5,1286.7,1290.5,181826,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 14:00:00,1290.7,1293.0,1288.55,1289.45,289099,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 14:15:00,1289.5,1289.95,1286.85,1287.35,152463,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 14:30:00,1287.75,1288.15,1285.25,1285.25,164881,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 14:45:00,1285.25,1285.3,1282.0,1282.2,233606,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 15:00:00,1282.2,1283.95,1280.6,1283.2,306335,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-01 15:15:00,1283.2,1286.2,1282.75,1283.85,456188,D:\hackthon code trade\dataset\ICICIBANK\01-01-2025.csv
2025-01-02 09:15:00,1285.1,1289.0,1279.5,1279.65,250406,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 09:30:00,1279.4,1287.35,1278.4,1286.4,186984,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 09:45:00,1286.4,1286.6,1281.05,1282.75,161098,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 10:00:00,1283.05,1284.7,1280.15,1280.35,123406,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 10:15:00,1280.35,1286.75,1280.25,1285.2,118171,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 10:30:00,1285.3,1285.3,1281.0,1282.25,133735,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 10:45:00,1282.25,1286.75,1281.4,1286.7,277204,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 11:00:00,1286.7,1289.85,1285.8,1288.65,216975,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 11:15:00,1288.7,1291.35,1287.4,1291.25,176382,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 11:30:00,1291.2,1292.1,1289.95,1290.9,383787,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 11:45:00,1291.0,1291.55,1286.4,1287.05,296761,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 12:00:00,1287.25,1289.55,1283.2,1283.7,115002,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 12:15:00,1283.4,1287.55,1281.95,1286.45,288627,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 12:30:00,1286.5,1289.95,1286.05,1288.5,528002,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 12:45:00,1288.55,1289.75,1285.95,1287.15,419365,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 13:00:00,1287.15,1289.0,1285.8,1287.05,220667,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 13:15:00,1287.05,1290.65,1286.3,1288.0,506676,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 13:30:00,1288.15,1291.05,1286.0,1289.9,289193,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 13:45:00,1289.7,1290.55,1286.75,1287.45,234392,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 14:00:00,1287.3,1289.2,1286.5,1288.9,141439,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 14:15:00,1288.8,1293.4,1288.75,1290.3,330605,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 14:30:00,1290.1,1292.75,1290.0,1290.9,280291,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 14:45:00,1290.9,1293.0,1290.5,1291.25,196848,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 15:00:00,1291.25,1292.4,1287.65,1291.4,844554,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-02 15:15:00,1291.35,1291.85,1290.0,1291.0,693559,D:\hackthon code trade\dataset\ICICIBANK\02-01-2025.csv
2025-01-03 09:15:00,1286.2,1288.0,1281.0,1281.3,424012,D:\hackthon code trade\dataset\ICICIBANK\03-01-2025.csv
