date,time,open,high,low,close,volume,oi,exchangecode,symbolcode,expiry
05-06-2025,09:15:00,8614,8614,8563.5,8583,3046,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:16:00,8589,8589,8570.5,8571,2372,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:17:00,8570.5,8593,8570.5,8593,2001,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:18:00,8591,8594,8581.5,8585.5,1708,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:19:00,8585.5,8592,8580.5,8580.5,1921,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:20:00,8580.5,8591.5,8577,8587,1702,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:21:00,8588,8590,8584,8590,599,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:22:00,8585,8595,8585,8594,1622,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:23:00,8594,8602.5,8591.5,8592.5,906,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:24:00,8587,8595,8587,8593,520,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:25:00,8593,8593,8587,8587,746,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:26:00,8587,8592,8585.5,8586,732,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:27:00,8589,8597,8589,8596.5,272,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:28:00,8596.5,8598,8595,8597,397,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:29:00,8596,8604.5,8596,8604.5,858,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:30:00,8604,8605,8592.5,8596,1330,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:31:00,8594,8594,8587.5,8591,301,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:32:00,8591,8600,8591,8600,625,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:33:00,8600,8603.5,8593,8600,580,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:34:00,8600,8605,8598,8602.5,422,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:35:00,8602.5,8602.5,8598.5,8598.5,384,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:36:00,8599,8600,8595,8598,253,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:37:00,8598,8610,8598,8606.5,3409,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:38:00,8606.5,8609.5,8604,8609,469,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:39:00,8609,8609,8600,8600,2153,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:40:00,8600,8600,8590,8590,1230,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:41:00,8591.5,8595.5,8590,8595,821,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:42:00,8595,8597.5,8595,8597.5,766,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:43:00,8599,8599.5,8595,8595,1434,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:44:00,8595,8599.5,8594,8596.5,1077,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:45:00,8596.5,8602.5,8596.5,8597.5,269,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:46:00,8599,8600.5,8597.5,8597.5,206,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:47:00,8595.5,8599.5,8595.5,8597.5,295,0,1,16669,01-01-0001 00:00:00
05-06-2025,09:48:00,8596,8600.5,8596,8600,309,0,1,16669,01-01-0001 00:00:00
